ID,Pozo_DGA,Pozo,E,N,Tipo,Operador,Z,Profundidad,Info SNGM - Collar
35,Camping Tamarugal 1,SNGM-PTA-0068,441375,7740964,Monitoreo,NN,983.651,Sin información,SNGM
36,Camping Tamarugal 2,SNGM-PTA-0069,441374,7740968,Monitoreo,NN,983.664,15,SNGM
37,Pica-Matilla p040,SNGM-PTA-0071,463344,7732184,Monitoreo,NN,1258.169,30.35,SNGM
38,Pica-Matilla p041,SNGM-PTA-0072,463345,7732182,Monitoreo,NN,1263,115,Collar
39,Los Tangelos p064,SNGM-PTA-0073,462903,7733395,Monitoreo,NN,1276.968,24.19,SNGM
40,Los Naranjos p063,SNGM-PTA-0074,462890,7733353,Monitoreo,NN,1271.308,26.79,SNGM
41,Pozo La Fábrica 3,SNGM-PTA-0075,462921,7733317,Monitoreo,NN,1271.257,Sin información,SNGM
42,La Calera Alto 1,SNGM-PTA-0080,458959,7748183,Monitoreo,NN,1387.932,19.61,SNGM
43,La Calera Alto 2,SNGM-PTA-0081,459190,7747654,Monitoreo,NN,1392.452,53.5,SNGM
44,La Calera 3 C-170,SNGM-PTA-0082,455170,7745879,Monitoreo,NN,1101.489,21.85,SNGM
45,La Calera 2 C-171,SNGM-PTA-0083,453300,7744808,Monitoreo,NN,1053.442,250,SNGM
46,Animita Victoria,SNGM-PTA-0094,431534,7706161,Monitoreo,NN,973.87,6.4,Collar
47,Zanja,SNGM-PTA-0095,431693,7706235,Monitoreo,NN,957,4.6,Collar
48,BRAC,SNGM-PTA-0098,430498,7710179,Monitoreo,NN,963,52,Collar
49,BRAC 2P,SNGM-PTA-0099,430479,7710170,Monitoreo,NN,958.126,Sin información,SNGM
50,PSA-1,SNGM-PTA-0100,443807,7703599,Monitoreo,NN,992,42.66,Collar
51,PSA-2,SNGM-PTA-0101,443162,7712780,Monitoreo,NN,997,42,Collar
52,PSA-3,SNGM-PTA-0102,442522,7731214,Monitoreo,NN,994,32.31,Collar
53,Exoficina San Pablo,SNGM-PTA-0103,412074,7736920,Monitoreo,NN,1008.051,31.62,SNGM
54,"Victoria, Pique 8",SNGM-PTA-0107,424971,7711260,Monitoreo,NN,965.58,6.5,Collar
55,10-S-1,SNGM-PTA-0109,426714,7711017,Monitoreo,NN,960.692,7.95,SNGM
56,Exoficina Virginia E-0029,SNGM-PTA-0110,416955,7734803,Monitoreo,NN,992.327,16.17,SNGM
57,"Bellavista, Pique 2",SNGM-PTA-0113,437030,7703192,Monitoreo,NN,965,17.05,Collar
58,"Victoria, Pique 4",SNGM-PTA-0116,439395,7705191,Monitoreo,NN,974,33.2,Collar
59,S-3,SNGM-PTA-0117,431339,7710002,Monitoreo,NN,965,78.75,Collar
60,S-3 nuevo,SNGM-PTA-0118,431342,7709989,Monitoreo,NN,959.601,Sin información,SNGM
61,S-6B,SNGM-PTA-0119,429549,7710071,Monitoreo,NN,965,53,Collar
62,S-6B nuevo,SNGM-PTA-0120,429561,7710080,Monitoreo,NN,960.132,Sin información,SNGM
63,E-0075-7,SNGM-PTA-0122,429683,7710249,Monitoreo,NN,958.615,Sin información,SNGM
64,S-16,SNGM-PTA-0123,432313,7712068,Monitoreo,NN,966,62,Collar
65,S-16 nuevo,SNGM-PTA-0124,432298,7712066,Monitoreo,NN,963.838,Sin información,SNGM
66,S-17A,SNGM-PTA-0126,431211,7711971,Monitoreo,NN,963.152,53,SNGM
67,S-23,SNGM-PTA-0127,439323,7704714,Monitoreo,NN,975,35,Collar
68,"Bellavista, Noria 13",SNGM-PTA-0129,439227,7704808,Monitoreo,NN,970.49,17.8,SNGM
69,Noria Bellavista,SNGM-PTA-0131,437510,7701858,Monitoreo,NN,961.473,Sin información,SNGM
70,Pintados C-688,SNGM-PTA-0132,436004,7720236,Monitoreo,NN,975.758,226,SNGM
71,B-257,SNGM-PTA-0133,436018,7720580,Monitoreo,NN,979,285,Collar
72,CPC-4,SNGM-PTA-0134,447624,7705760,Monitoreo,NN,1013.037,Sin información,SNGM
73,TC-9,SNGM-PTA-0135,448361,7705115,Monitoreo,NN,1022,128.25,Collar
74,CPC-3,SNGM-PTA-0136,446296,7705143,Monitoreo,NN,1006.829,Sin información,SNGM
75,Esmeralda 6 C-174,SNGM-PTA-0151,449653,7742622,Monitoreo,NN,1000.916,99.85,SNGM
76,Esmeralda 11,SNGM-PTA-0152,459515,7735750,Monitoreo,NN,1094.944,69.4,SNGM
77,Esmeralda 28,SNGM-PTA-0153,460131,7735492,Monitoreo,NN,1102.124,83,SNGM
78,Esmeralda 203,SNGM-PTA-0154,460594,7734577,Monitoreo,NN,1120.268,49.5,SNGM
79,Puquio Núñez 323,SNGM-PTA-0156,463282,7721559,Monitoreo,NN,1186.469,21.3,SNGM
80,"Puquio Núñez, Galería",SNGM-PTA-0157,463227.63,7721590.67,Monitoreo,NN,1182.699,Sin información,SNGM
81,Junoy 12,SNGM-PTA-0158,427203,7739922,Monitoreo,NN,990.237,24,SNGM
82,Bellavista 281,SNGM-PTA-0159,440401,7703579,Monitoreo,NN,974.301,22.16,SNGM
83,"Carmen Bajo, Noria 95",SNGM-PTA-0163,418928,7758325,Monitoreo,NN,1025,28.8,Collar
