ID;Pozo_DGA;Pozo;E;N;Tipo;Operador;Z;Profundidad;Info SNGM - Collar
58;Victoria  Pique 4;SNGM-PTA-0116;439395;7705191;Monitoreo;No Identificado;974;33.2;Collar
59;S-3;SNGM-PTA-0117;431339;7710002;Monitoreo;No Identificado;965;78.75;Collar
60;S-3 nuevo;SNGM-PTA-0118;431342;7709989;Monitoreo;No Identificado;959.601;Sin informacion;SNGM
61;S-6B;SNGM-PTA-0119;429549;7710071;Monitoreo;No Identificado;965;53;Collar
62;S-6B nuevo;SNGM-PTA-0120;429561;7710080;Monitoreo;No Identificado;960.132;Sin informacion;SNGM
63;E-0075-7;SNGM-PTA-0122;429683;7710249;Monitoreo;No Identificado;958.615;Sin informacion;SNGM
64;S-16;SNGM-PTA-0123;432313;7712068;Monitoreo;No Identificado;966;62;Collar
65;S-16 nuevo;SNGM-PTA-0124;432298;7712066;Monitoreo;No Identificado;963.838;Sin informacion;SNGM
66;S-17A;SNGM-PTA-0126;431211;7711971;Monitoreo;No Identificado;963.152;53;SNGM
67;S-23;SNGM-PTA-0127;439323;7704714;Monitoreo;No Identificado;975;35;Collar
68;Bellavista  Noria 13;SNGM-PTA-0129;439227;7704808;Monitoreo;No Identificado;970.49;17.8;SNGM
69;Noria Bellavista;SNGM-PTA-0131;437510;7701858;Monitoreo;No Identificado;961.473;Sin informacion;SNGM
70;Pintados C-688;SNGM-PTA-0132;436004;7720236;Monitoreo;No Identificado;975.758;226;SNGM
71;B-257;SNGM-PTA-0133;436018;7720580;Monitoreo;No Identificado;979;285;Collar
72;CPC-4;SNGM-PTA-0134;447624;7705760;Monitoreo;No Identificado;1013.037;Sin informacion;SNGM
73;TC-9;SNGM-PTA-0135;448361;7705115;Monitoreo;No Identificado;1022;128.25;Collar
74;CPC-3;SNGM-PTA-0136;446296;7705143;Monitoreo;No Identificado;1006.829;Sin informacion;SNGM
75;Esmeralda 6 C-174;SNGM-PTA-0151;449653;7742622;Monitoreo;No Identificado;1000.916;99.85;SNGM
76;Esmeralda 11;SNGM-PTA-0152;459515;7735750;Monitoreo;No Identificado;1094.944;69.4;SNGM
77;Esmeralda 28;SNGM-PTA-0153;460131;7735492;Monitoreo;No Identificado;1102.124;83;SNGM
78;Esmeralda 203;SNGM-PTA-0154;460594;7734577;Monitoreo;No Identificado;1120.268;49.5;SNGM
79;Puquio Nunez 323;SNGM-PTA-0156;463282;7721559;Monitoreo;No Identificado;1186.469;21.3;SNGM
80;Puquio Nunez  Galeria;SNGM-PTA-0157;463227.63;7721590.67;Monitoreo;No Identificado;1182.699;Sin informacion;SNGM
81;Junoy 12;SNGM-PTA-0158;427203;7739922;Monitoreo;No Identificado;990.237;24;SNGM
82;Bellavista 281;SNGM-PTA-0159;440401;7703579;Monitoreo;No Identificado;974.301;22.16;SNGM
83;Carmen Bajo  Noria 95;SNGM-PTA-0163;418928;7758325;Monitoreo;No Identificado;1025;28.8;Collar
84;Tarapaca 5;SNGM-PTA-0164;418735;7758351;Monitoreo;No Identificado;1012;41.4;Collar
