ID;Pozo_DGA;Pozo;E;N;Tipo;Operador;Z;Profundidad;Info SNGM - Collar
241;Esmeralda 34;SNGM-PTA-0611;456249;7738021;Monitoreo;No Identificado;1075.673;85;SNGM
242;Gmo. Araya A-100;SNGM-PTA-0615;431716;7747781;Monitoreo;No Identificado;998.523;Sin informacion;SNGM
243;Planta Sara 3A;SNGM-PTA-0618;421826;7753269;Monitoreo;No Identificado;1016.016;Sin informacion;SNGM
244;Valle Quisma p075;SNGM-PTA-0627;463667;7730896;Monitoreo;No Identificado;1215.692;10.2;SNGM
245;Salar Zapiga 4;SNGM-PTA-0628;412650.93;7808958.71;Monitoreo;No Identificado;1149.022;15.74;SNGM
246;Salar Zapiga 2;SNGM-PTA-0632;424887;7821530;Monitoreo;No Identificado;1313.821;12;SNGM
247;Bellavista Sur;SNGM-PTA-0659;438284;7700237;Monitoreo;No Identificado;956.193;16.7;SNGM
248;Reserva Bellavista 1;SNGM-PTA-0663;433341;7702047;Monitoreo;No Identificado;950.914;Sin informacion;SNGM
249;Carmina 1;SNGM-PTA-0691;417434;7803733;Monitoreo;No Identificado;1154.208;110;SNGM
250;Carmina 2;SNGM-PTA-0692;417623.65;7803542.34;Monitoreo;No Identificado;1153.922;103.95;SNGM
251;Aroma PF-004;SNGM-PTA-0693;427968;7808184;Monitoreo;No Identificado;1238.621;13.4;SNGM
252;Tarapaca 4;SNGM-PTA-0702;418744;7758357;Monitoreo;No Identificado;1025.219;Sin informacion;SNGM
253;SC-968;SNGM-PTA-0704;425503.5;7779668.95;Monitoreo;No Identificado;1078;90.75;SNGM
254;R-1;SNGM-PTA-0706;425167;7790248;Monitoreo;No Identificado;1108.547;151.25;SNGM
255;MERCK-IX;SNGM-PTA-0707;421491.5;7789322.32;Monitoreo;No Identificado;1107.1;62.5;SNGM
256;Pozo Almonte S-12;SNGM-PTA-0710;425657;7764417;Monitoreo;No Identificado;1038.254;50.35;SNGM
257;HMC-4;SNGM-PTA-0723;444163;7756787;Monitoreo;No Identificado;1080.668;Sin informacion;SNGM
258;SCR-2;SNGM-PTA-0729;432740;7635446;Monitoreo;No Identificado;746.411;85.7;SNGM
259;SCR-3;SNGM-PTA-0730;432361.61;7635382.81;Monitoreo;No Identificado;744.258;Sin informacion;SNGM
260;SCR-8;SNGM-PTA-0731;431656;7634982;Monitoreo;No Identificado;739.384;Sin informacion;SNGM
261;SCR-9;SNGM-PTA-0732;431534.97;7635174.87;Monitoreo;No Identificado;736.469;Sin informacion;SNGM
262;MC-006;SNGM-PTA-0733;429721;7634405;Monitoreo;No Identificado;732.043;2;SNGM
263;S-18A;SNGM-PTA-0736;434281.77;7647902.45;Monitoreo;No Identificado;750.818;Sin informacion;SNGM
264;S-30;SNGM-PTA-0739;426017;7696140;Monitoreo;No Identificado;944.109;27;SNGM
265;Victoria Pique 2;SNGM-PTA-0743;436846;7702819;Monitoreo;No Identificado;959.141;12.6;SNGM
266;Chacarilla 1 A-20;SNGM-PTA-0777;455334;7720908.61;Monitoreo;No Identificado;1085.469;141.1;SNGM
267;Chacarilla 2 A-21;SNGM-PTA-0778;455315;7720923;Monitoreo;No Identificado;1083.837;116.72;SNGM
268;Salar Zapiga 3;SNGM-PTA-1583;427821;7816009;Monitoreo;No Identificado;1310.734;Sin informacion;SNGM
269;Salar Pintados Radio;SNGM-PTA-1585;434025.14;7726026.43;Monitoreo;No Identificado;972.536;Sin informacion;SNGM
270;Est Exp Pintados;SNGM-PTA-1587;432852;7719499;Monitoreo;No Identificado;974.635;Sin informacion;SNGM
271;Salar Pintados BNA 20-9;SNGM-PTA-1588;440948;7721988;Monitoreo;No Identificado;988.952;Sin informacion;SNGM
272;Salar Pintados BNA 21-7;SNGM-PTA-1589;435440;7723967;Monitoreo;No Identificado;974.24;Sin informacion;SNGM
273;Salar Pintados Pica 1;SNGM-PTA-1590;446009;7723542;Monitoreo;No Identificado;1016.936;110;SNGM
274;Salar Bellavista BNA 25-K;SNGM-PTA-1592;434324;7713048;Monitoreo;No Identificado;967.46;Sin informacion;SNGM
275;Salar Bellavista BNA 27-6;SNGM-PTA-1593;433968.09;7703583.37;Monitoreo;No Identificado;953.037;Sin informacion;SNGM
276;La Tirana 1;SNGM-PTA-1594;438217;7756779;Monitoreo;No Identificado;1033.469;Sin informacion;SNGM
277;Refresco;SNGM-PTA-1595;435531.17;7749089.58;Monitoreo;No Identificado;1004.333;Sin informacion;SNGM
278;Bosque Junoy BNA 33-0;SNGM-PTA-1596;435819;7746564;Monitoreo;No Identificado;992.387;Sin informacion;SNGM
279;Salar Pintados Pica 2;SNGM-PTA-1597;460616;7728809;Monitoreo;No Identificado;1143.434;159;SNGM
280;Salar Pintados 3;SNGM-PTA-1598;441554.13;7725808.37;Monitoreo;No Identificado;993.784;Sin informacion;SNGM
281;Salar Pintados BNA 37-3;SNGM-PTA-1599;435947;7727811;Monitoreo;No Identificado;975.383;Sin informacion;SNGM
282;Mosquitos 1;SNGM-PTA-1600;434260;7729588;Monitoreo;No Identificado;974.683;Sin informacion;SNGM
283;Est Salar Pintados 1;SNGM-PTA-1601;442968;7723963;Monitoreo;No Identificado;998.188;Sin informacion;SNGM
284;Salar Bellavista BNA 41-1;SNGM-PTA-1602;441581.2;7760485.56;Monitoreo;No Identificado;1069.187;Sin informacion;SNGM
285;Salar Bellavista BNA 42-K;SNGM-PTA-1603;446236;7644285;Monitoreo;No Identificado;804.673;Sin informacion;SNGM
286;Recreo 1;SNGM-PTA-1622;431376.97;7732146.56;Monitoreo;No Identificado;978.521;Sin informacion;SNGM
287;Dren Of. Victoria;SNGM-PTA-1623;431639.7;7706250.02;Monitoreo;No Identificado;952.895;Sin informacion;SNGM
288;Iris 2;SNGM-PTA-1624;445208;7690216;Monitoreo;No Identificado;941.769;71.2;SNGM
289;Puquio Nunez 3;SNGM-PTA-1647;461990;7723598;Monitoreo;No Identificado;1194.557;13.18;SNGM
290;Alto San Andr_s;SNGM-PTA-1648;467807;7735911;Monitoreo;No Identificado;1459.231;37.24;SNGM
291;XT-9;SNGM-PTA-1651;435796.91;7638159.49;Monitoreo;No Identificado;753.224;Sin informacion;SNGM
292;2-HENOC;SNGM-PTA-1652;433601;7659645;Monitoreo;No Identificado;759.842;Sin informacion;SNGM
293;Iris 1;SNGM-PTA-1654;435974;7688175;Monitoreo;No Identificado;917.713;42.8;SNGM
294;Soga 3;SNGM-PTA-1656;411899;7806942;Monitoreo;No Identificado;1144.853;25.3;SNGM
295;Pintados B-2;SNGM-PTA-1657;442296;7732598;Monitoreo;No Identificado;989.09;112.03;SNGM
296;HPS-55;SNGM-PTA-1659;511622;7757137;Monitoreo;No Identificado;3787.449;3.63;SNGM
297;Bajo Soga;SNGM-PTA-1661;415179;7815670;Monitoreo;No Identificado;1152.816;32;SNGM
298;APR Tarapaca;SNGM-PTA-1662;446865;7796903;Monitoreo;No Identificado;1405.98;Sin informacion;SNGM
299;Salar Zapiga;SNGM-PTA-1663;447601;7819767;Monitoreo;No Identificado;1898.679;Sin informacion;SNGM
300;Concova 1;SNGM-PTA-1665;467844;7734911;Monitoreo;No Identificado;1457.874;Sin informacion;SNGM
301;Enrique Aguayo;SNGM-PTA-1667;465241;7733123;Monitoreo;No Identificado;1305.539;Sin informacion;SNGM
302;Granja Maria Jos_;SNGM-PTA-1668;463504;7732812;Monitoreo;No Identificado;1266.667;Sin informacion;SNGM
303;Esmeralda 31;SNGM-PTA-1670;456308;7737775;Monitoreo;No Identificado;1074.672;Sin informacion;SNGM
304;Bosque Junoy BNA 62-4;SNGM-PTA-1671;440619;7749901;Monitoreo;No Identificado;1009.586;Sin informacion;SNGM
305;Chacacollo 2;SNGM-PTA-1672;442629;7695709;Monitoreo;No Identificado;959.519;Sin informacion;SNGM
306;Antonio Napoli di Capua;SNGM-PTA-1673;465241;7733123;Monitoreo;No Identificado;1305.539;Sin informacion;SNGM
307;Bosque Junoy BNA 70-5;SNGM-PTA-1674;434827;7732972;Monitoreo;No Identificado;975.522;Sin informacion;SNGM
308;ESSAT Canchones;SNGM-PTA-1675;456021;7736329;Monitoreo;No Identificado;1070.024;Sin informacion;SNGM
309;Est Salar Pint 4;SNGM-PTA-1676;440955;7719990;Monitoreo;No Identificado;983.661;Sin informacion;SNGM
310;Salar Pintados BNA 66-7;SNGM-PTA-1677;430220;7740394;Monitoreo;No Identificado;988.044;Sin informacion;SNGM
311;Salar Pintados BNA 67-5;SNGM-PTA-1678;424827.04;7743512.5;Monitoreo;No Identificado;998.041;Sin informacion;SNGM
312;Salar Pintados BNA 14-4;SNGM-PTA-1679;420826;7753880;Monitoreo;No Identificado;1016.493;Sin informacion;SNGM
313;Salar Bellavista BNA 77-2;SNGM-PTA-1681;427588;7698417;Monitoreo;No Identificado;940.66;Sin informacion;SNGM
314;Salar Bellavista BNA 73-K;SNGM-PTA-1682;434562;7711512;Monitoreo;No Identificado;968.191;Sin informacion;SNGM
315;La Tirana 8A;SNGM-PTA-1683;431282;7750082;Monitoreo;No Identificado;1000.931;Sin informacion;SNGM
316;La Tirana 104A;SNGM-PTA-1684;432161;7747780;Monitoreo;No Identificado;995.531;Sin informacion;SNGM
317;Moscoso;SNGM-PTA-1685;447805;7751523;Monitoreo;No Identificado;1074.179;Sin informacion;SNGM
318;PO-1;SNGM-PTA-1686;434417.93;7656614.11;Monitoreo;No Identificado;755.229;Sin informacion;SNGM
319;PO-2;SNGM-PTA-1687;434196;7659863;Monitoreo;No Identificado;765;21.5;Collar
320;PO-2A;SNGM-PTA-1688;434186.93;7659865.04;Monitoreo;No Identificado;762.083;Sin informacion;SNGM
321;PO-3;SNGM-PTA-1689;434578.93;7658539.07;Monitoreo;No Identificado;758.224;Sin informacion;SNGM
322;PO-4;SNGM-PTA-1690;434625.93;7657960.08;Monitoreo;No Identificado;755.801;Sin informacion;SNGM
323;PO-5;SNGM-PTA-1691;434536.93;7658721.06;Monitoreo;No Identificado;758.808;Sin informacion;SNGM
324;PO-6;SNGM-PTA-1692;434400;7658755;Monitoreo;No Identificado;761;40.15;Collar
325;PO-6A;SNGM-PTA-1693;434401.93;7658754.06;Monitoreo;No Identificado;759.343;Sin informacion;SNGM
326;PO-7;SNGM-PTA-1694;434410.93;7658873.06;Monitoreo;No Identificado;757.277;Sin informacion;SNGM
327;PO-8;SNGM-PTA-1695;434428.93;7657234.09;Monitoreo;No Identificado;753.477;Sin informacion;SNGM
328;REC-1;SNGM-PTA-1696;442500.78;7635427.55;Monitoreo;No Identificado;782.848;Sin informacion;SNGM
329;REC-2;SNGM-PTA-1697;447796.67;7635757.54;Monitoreo;No Identificado;807.439;Sin informacion;SNGM
330;XT-1B;SNGM-PTA-1698;435848.9;7661225.01;Monitoreo;No Identificado;768.334;Sin informacion;SNGM
331;XT-2B;SNGM-PTA-1699;435060.92;7661184.01;Monitoreo;No Identificado;762.508;Sin informacion;SNGM
332;XT-3;SNGM-PTA-1700;435579.9;7660380.03;Monitoreo;No Identificado;765.679;Sin informacion;SNGM
333;XT-4;SNGM-PTA-1701;435753.9;7659194.05;Monitoreo;No Identificado;758.366;Sin informacion;SNGM
334;XT-5;SNGM-PTA-1702;435570.91;7658450.07;Monitoreo;No Identificado;758.349;Sin informacion;SNGM
335;XT-6;SNGM-PTA-1703;436979.88;7657613.09;Monitoreo;No Identificado;761.323;Sin informacion;SNGM
336;XT-7B;SNGM-PTA-1704;432858.96;7656863.1;Monitoreo;No Identificado;754.864;Sin informacion;SNGM
337;A;SNGM-PTA-1705;435404;7650984;Monitoreo;No Identificado;761;20.11;Collar
338;B;SNGM-PTA-1706;434685;7652915;Monitoreo;No Identificado;761;18;Collar
339;CLL-29;SNGM-PTA-1707;433960;7654831;Monitoreo;No Identificado;761;16.2;Collar
340;M3N2;SNGM-PTA-1708;436000;7648237;Monitoreo;No Identificado;756;35.07;Collar
341;M3N3;SNGM-PTA-1709;434670;7648017;Monitoreo;No Identificado;755;50.29;Collar
342;N2N;SNGM-PTA-1710;436015;7648582;Monitoreo;No Identificado;756;15;Collar
343;N2S;SNGM-PTA-1711;436015;7648381;Monitoreo;No Identificado;757;15;Collar
344;N2E;SNGM-PTA-1712;436260;7648448;Monitoreo;No Identificado;753;15;Collar
345;N2W;SNGM-PTA-1713;435765;7648432;Monitoreo;No Identificado;758;15;Collar
346;N3N;SNGM-PTA-1714;434740;7648332;Monitoreo;No Identificado;756;15;Collar
347;N3S;SNGM-PTA-1715;434740;7648132;Monitoreo;No Identificado;754;15;Collar
348;N3E;SNGM-PTA-1716;434990;7648182;Monitoreo;No Identificado;756;15.23;Collar
349;N3W;SNGM-PTA-1717;434490;7648182;Monitoreo;No Identificado;754;15;Collar
350;Llamara S1;SNGM-PTA-1718;435065;7647689;Monitoreo;No Identificado;757;15;Collar
351;Llamara S2;SNGM-PTA-1719;435519;7647854;Monitoreo;No Identificado;754;15;Collar
352;Llamara S3;SNGM-PTA-1720;435579;7647359;Monitoreo;No Identificado;756;15.02;Collar
353;Llamara S4;SNGM-PTA-1721;435037;7647077;Monitoreo;No Identificado;755;15;Collar
354;Llamara S5;SNGM-PTA-1722;434682;7646858;Monitoreo;No Identificado;756;15;Collar
355;Llamara S6;SNGM-PTA-1723;434242;7646709;Monitoreo;No Identificado;757;15;Collar
356;Llamara S7;SNGM-PTA-1724;433791;7647905;Monitoreo;No Identificado;754;14;Collar
357;Llamara S8;SNGM-PTA-1725;433947;7647991;Monitoreo;No Identificado;755;15;Collar
358;Llamara S9;SNGM-PTA-1726;434390;7647981;Monitoreo;No Identificado;754;15;Collar
359;Llamara S10;SNGM-PTA-1727;435107;7648218;Monitoreo;No Identificado;756;15;Collar
360;Llamara S11;SNGM-PTA-1728;435513;7648234;Monitoreo;No Identificado;757;15;Collar
361;Llamara S12;SNGM-PTA-1729;435362;7648663;Monitoreo;No Identificado;758;15;Collar
362;Llamara S13;SNGM-PTA-1730;433705;7647993;Monitoreo;No Identificado;754;12;Collar
363;Llamara S14;SNGM-PTA-1731;434664;7646625;Monitoreo;No Identificado;756;15;Collar
364;Llamara S15;SNGM-PTA-1732;435580;7647091;Monitoreo;No Identificado;759;15;Collar
365;Llamara S16;SNGM-PTA-1733;434389;7648188;Monitoreo;No Identificado;754;15;Collar
366;Llamara S17;SNGM-PTA-1734;433938;7648188;Monitoreo;No Identificado;756;15.21;Collar
367;Llamara S18;SNGM-PTA-1735;434280;7647907;Monitoreo;No Identificado;753;15;Collar
368;Re-1;SNGM-PTA-1736;435693.91;7647823.29;Monitoreo;No Identificado;748.426;Sin informacion;SNGM
369;R2N2;SNGM-PTA-1737;435968.9;7648003.28;Monitoreo;No Identificado;747.25;Sin informacion;SNGM
370;R4N3;SNGM-PTA-1739;434593.93;7647850.29;Monitoreo;No Identificado;748.427;Sin informacion;SNGM
371;R5N4;SNGM-PTA-1740;433940.95;7647857.29;Monitoreo;No Identificado;750.232;Sin informacion;SNGM
372;3X-16A;SNGM-PTA-1741;434378.93;7658725.06;Monitoreo;No Identificado;758.694;Sin informacion;SNGM
373;X-17A;SNGM-PTA-1742;439717;7663226;Monitoreo;No Identificado;792.27;96;SNGM
374;2PL3;SNGM-PTA-1743;433657.95;7657625.08;Monitoreo;No Identificado;755.608;Sin informacion;SNGM
375;3X-14A;SNGM-PTA-1744;433409.95;7661610;Monitoreo;No Identificado;763.616;Sin informacion;SNGM
376;2PL2;SNGM-PTA-1745;432957.96;7658557.06;Monitoreo;No Identificado;756.344;Sin informacion;SNGM
377;3X-S7;SNGM-PTA-1746;431596.99;7659968.03;Monitoreo;No Identificado;757.246;Sin informacion;SNGM
378;Comina;SNGM-PTA-1748;464296;7733691;Monitoreo;No Identificado;1299.523;Sin informacion;SNGM
379;HUA-01;SNGM-PTA-1750;512438;7753663;Monitoreo;No Identificado;3783.17;Sin informacion;SNGM
380;XT-12;SNGM-PTA-1752;437264;7637520;Monitoreo;No Identificado;759.057;Sin informacion;SNGM
381;Minera Nueva;SNGM-PTA-1753;434772;7687370;Monitoreo;No Identificado;919.993;Sin informacion;SNGM
382;RL-13;SNGM-PTA-1754;438109;7637220;Monitoreo;No Identificado;762.148;Sin informacion;SNGM
383;S-9;SNGM-PTA-1755;434388;7647973;Monitoreo;No Identificado;750.783;Sin informacion;SNGM
384;Enpachica;SNGM-PTA-1756;454643;7803303;Monitoreo;No Identificado;908;2295;Collar
385;Canchones 3 ;SNGM-PTA-0025;446066;7740989;Bombeo;Aguas Nuevas;994;110;Collar
386;Canchones 4 ;SNGM-PTA-0026;445881;7741311;Bombeo;Aguas Nuevas;1002;121;Collar
387;Canchones 5 ;SNGM-PTA-0027;446124;7741578;Bombeo;Aguas Nuevas;1000;119;Collar
388;Canchones 6 ;SNGM-PTA-0028;445279;7742416;Bombeo;Aguas Nuevas;994;120;Collar
389;NN;SNGM-PTA-0013;517470;7766011;No Definido;No Identificado;3835.74;207;SNGM
390;NN;SNGM-PTA-0019;446105;7740268;No Definido;No Identificado;995.939;101.2;SNGM
391;NN;SNGM-PTA-0029;444950;7743166;No Definido;No Identificado;990.46;121;SNGM
392;NN;SNGM-PTA-0030;445851;7739701;No Definido;No Identificado;1000.291;Sin informacion;SNGM
393;NN;SNGM-PTA-0031;439689;7758066;No Definido;No Identificado;1046.098;Sin informacion;SNGM
394;NN;SNGM-PTA-0032;439703;7758034;No Definido;No Identificado;1047.15;Sin informacion;SNGM
395;NN;SNGM-PTA-0033;439781;7757986;No Definido;No Identificado;1048.835;200;SNGM
396;NN;SNGM-PTA-0034;439221;7756705;No Definido;No Identificado;1040.386;202;SNGM
397;NN;SNGM-PTA-0035;439220;7757713;No Definido;No Identificado;1040.074;200;SNGM
398;NN;SNGM-PTA-0036;438141;7755315;No Definido;No Identificado;1030.1;200;SNGM
399;NN;SNGM-PTA-0037;437313;7757175;No Definido;No Identificado;1032.134;200;SNGM
400;NN;SNGM-PTA-0038;438962;7758670;No Definido;No Identificado;1044.49;201.4;SNGM
401;NN;SNGM-PTA-0040;440333;7756578;No Definido;No Identificado;1044.102;200;SNGM
402;NN;SNGM-PTA-0041;440292;7757584;No Definido;No Identificado;1050.009;200;SNGM
403;NN;SNGM-PTA-0046;446751;7737924;No Definido;No Identificado;996.179;108;SNGM
404;NN;SNGM-PTA-0052;463196;7733931;No Definido;No Identificado;1290.4;Sin informacion;SNGM
405;NN;SNGM-PTA-0057;440803;7724172;No Definido;No Identificado;991.779;2475;SNGM
406;NN;SNGM-PTA-0058;440729;7731758;No Definido;No Identificado;986.132;1255;SNGM
407;NN;SNGM-PTA-0067;439915;7741194;No Definido;No Identificado;984.177;Sin informacion;SNGM
408;NN;SNGM-PTA-0070;463339;7732365;No Definido;No Identificado;1261.969;Sin informacion;SNGM
409;NN;SNGM-PTA-0079;459008;7748230;No Definido;No Identificado;1390.932;Sin informacion;SNGM
410;NN;SNGM-PTA-0085;417338;7803089;No Definido;No Identificado;1150.234;60;SNGM
411;NN;SNGM-PTA-0086;417453;7803241;No Definido;No Identificado;1153.302;37;SNGM
412;NN;SNGM-PTA-0087;443776;7697675;No Definido;No Identificado;971.967;Sin informacion;SNGM
413;NN;SNGM-PTA-0088;443741;7696515;No Definido;No Identificado;965.26;Sin informacion;SNGM
414;NN;SNGM-PTA-0089;444316;7698705;No Definido;No Identificado;976.03;Sin informacion;SNGM
415;NN;SNGM-PTA-0115;439909;7701950;No Definido;No Identificado;969.901;20.7;SNGM
416;NN;SNGM-PTA-0125;431189;7711974;No Definido;No Identificado;963.318;53;SNGM
417;NN;SNGM-PTA-0128;426018;7696137;No Definido;No Identificado;943.998;27;SNGM
418;NN;SNGM-PTA-0137;458631;7736296;No Definido;No Identificado;1088.296;315;SNGM
419;NN;SNGM-PTA-0138;459321;7735535;No Definido;No Identificado;1095.088;94;SNGM
420;NN;SNGM-PTA-0144;459221;7736022;No Definido;No Identificado;1086.151;83;SNGM
421;NN;SNGM-PTA-0145;459576;7735750;No Definido;No Identificado;1098.389;86;SNGM
422;NN;SNGM-PTA-0146;459403;7735602;No Definido;No Identificado;1098.839;92;SNGM
423;NN;SNGM-PTA-0147;459354;7735317;No Definido;No Identificado;1081.05;90;SNGM
424;NN;SNGM-PTA-0148;459515;7735316;No Definido;No Identificado;1088.182;85;SNGM
425;NN;SNGM-PTA-0149;459594;7735069;No Definido;No Identificado;1093.058;83;SNGM
426;NN;SNGM-PTA-0171;411005;7805387;No Definido;No Identificado;1142.094;30.25;SNGM
427;NN;SNGM-PTA-0173;411065;7806628;No Definido;No Identificado;1141.418;18.5;SNGM
428;NN;SNGM-PTA-0174;411899;7806946;No Definido;No Identificado;1144.814;26.7;SNGM
429;NN;SNGM-PTA-0175;410539;7807815;No Definido;No Identificado;1142.217;20.2;SNGM
430;NN;SNGM-PTA-0176;411193;7808264;No Definido;No Identificado;1144.397;45;SNGM
431;NN;SNGM-PTA-0177;410605;7809541;No Definido;No Identificado;1149.093;25.4;SNGM
432;NN;SNGM-PTA-0228;463464;7732530;No Definido;No Identificado;1260.854;25.2;SNGM
433;NN;SNGM-PTA-0231;442940;7736996;No Definido;No Identificado;986.352;117.5;SNGM
434;NN;SNGM-PTA-0272;466050;7728686;No Definido;No Identificado;1284.843;180;SNGM
435;NN;SNGM-PTA-0276;466252;7733353;No Definido;No Identificado;1332.269;Sin informacion;SNGM
436;NN;SNGM-PTA-0291;445587;7722395;No Definido;No Identificado;1009.865;110;SNGM
437;NN;SNGM-PTA-0292;451676;7726195;No Definido;No Identificado;1048.421;147;SNGM
438;NN;SNGM-PTA-0293;455704;7729013;No Definido;No Identificado;1070.862;200;SNGM
439;NN;SNGM-PTA-0294;455526;7720590;No Definido;No Identificado;1086.578;150;SNGM
440;NN;SNGM-PTA-0297;422816;7756624;No Definido;No Identificado;1017.751;200;SNGM
441;NN;SNGM-PTA-0351;463746;7731318;No Definido;No Identificado;1255.755;Sin informacion;SNGM
442;NN;SNGM-PTA-0439;466819;7735181;No Definido;No Identificado;1392.117;Sin informacion;SNGM
443;NN;SNGM-PTA-0441;468043;7735730;No Definido;No Identificado;1477.56;80;SNGM
444;NN;SNGM-PTA-0500;438343;7698734;No Definido;No Identificado;956.089;25.36;SNGM
445;NN;SNGM-PTA-0501;436655;7700242;No Definido;No Identificado;952.98;25;SNGM
446;NN;SNGM-PTA-0502;435676;7700240;No Definido;No Identificado;948.561;20.27;SNGM
447;NN;SNGM-PTA-0503;434143;7702052;No Definido;No Identificado;952.362;20.03;SNGM
448;NN;SNGM-PTA-0504;432437;7703219;No Definido;No Identificado;950.98;15.1;SNGM
449;NN;SNGM-PTA-0510;464753;7732447;No Definido;No Identificado;1290.642;47;SNGM
450;NN;SNGM-PTA-0511;466050;7734940;No Definido;No Identificado;1345.166;70;SNGM
451;NN;SNGM-PTA-0516;484939;7732830;No Definido;No Identificado;2580.552;26.01;SNGM
452;NN;SNGM-PTA-0613;430222;7751091;No Definido;No Identificado;1007.806;15;SNGM
453;NN;SNGM-PTA-0758;440446;7718703;No Definido;No Identificado;987.852;Sin informacion;SNGM
454;NN;SNGM-PTA-1309;463701;7728270;No Definido;No Identificado;1220.679;Sin informacion;SNGM
455;NN;SNGM-PTA-1347;463248;7732595;No Definido;No Identificado;1260.685;23.96;SNGM
456;NN;SNGM-PTA-1425;462473;7731614;No Definido;No Identificado;1208.689;30.9;SNGM
457;NN;SNGM-PTA-1426;460314;7731912;No Definido;No Identificado;1132.364;34;SNGM
458;NN;SNGM-PTA-1427;465483;7733253;No Definido;No Identificado;1311.236;34.5;SNGM
459;NN;SNGM-PTA-1439;467106;7734620;No Definido;No Identificado;1398.866;35;SNGM
460;NN;SNGM-PTA-1649;466627;7734784;No Definido;No Identificado;1371.373;48;SNGM
461;NN;SNGM-PTA-1660;444163;7756774;No Definido;No Identificado;1080.985;274;SNGM
462;NN;SNGM-PTA-1669;519349;7776926;No Definido;No Identificado;3982.423;157;SNGM
463;NN;SNGM-PTA-1680;420045;7734815;No Definido;No Identificado;989.168;Sin informacion;SNGM
464;NN;SNGM-PTA-1757;403918;7823302;No Definido;No Identificado;1126.532;2827;SNGM
465;NN;SNGM-PTA-1762;467276;7734696;No Definido;No Identificado;1412.783;70;SNGM
466;NN;SNGM-PTA-1767;433256;7746043;No Definido;No Identificado;995.832;Sin informacion;SNGM
467;NN;SNGM-PTA-1770;464839;7717351;No Definido;No Identificado;1236.852;Sin informacion;SNGM
468;NN;SNGM-PTA-1771;454632;7802418;No Definido;No Identificado;1683.794;Sin informacion;SNGM
