ID,Pozo_DGA,Pozo,E,N,Tipo,Operador
72,CPC-4,SNGM-PTA-0134,447624,7705760,Monitoreo,Aguas Nuevas
73,TC-9,SNGM-PTA-0135,448361,7705115,Monitoreo,DGA
74,CPC-3,SNGM-PTA-0136,446296,7705143,Monitoreo,Aguas Nuevas
75,Esmeralda 6 C-174,SNGM-PTA-0151,449653,7742622,Monitoreo,DGA
76,Esmeralda 11,SNGM-PTA-0152,459515,7735750,Monitoreo,Aguas Nuevas
77,Esmeralda 28,SNGM-PTA-0153,460131,7735492,Monitoreo,DGA
78,Esmeralda 203,SNGM-PTA-0154,460594,7734577,Monitoreo,Aguas Nuevas
79,Puquio Núñez 323,SNGM-PTA-0156,463282,7721559,Monitoreo,DGA
80,"Puquio Núñez, Galería",SNGM-PTA-0157,463227.63,7721590.67,Monitoreo,Aguas Nuevas
81,Junoy 12,SNGM-PTA-0158,427203,7739922,Monitoreo,DGA
82,Bellavista 281,SNGM-PTA-0159,440401,7703579,Monitoreo,Aguas Nuevas
83,"Carmen Bajo, Noria 95",SNGM-PTA-0163,418928,7758325,Monitoreo,DGA
84,Tarapacá 5,SNGM-PTA-0164,418735,7758351,Monitoreo,Aguas Nuevas
85,Tarapacá X,SNGM-PTA-0179,418815,7758354,Monitoreo,DGA
86,"Puquio, Buena Esperanza 1",SNGM-PTA-0229,464434,7732537,Monitoreo,Aguas Nuevas
87,HMC-1,SNGM-PTA-0230,443531,7756372,Monitoreo,DGA
88,HMC-2,SNGM-PTA-0232,443968,7756643,Monitoreo,Aguas Nuevas
89,HMC P-4,SNGM-PTA-0233,444135,7756745,Monitoreo,DGA
90,Santa Rosita p053,SNGM-PTA-0274,466225,7729996,Monitoreo,Aguas Nuevas
91,San Martín p013,SNGM-PTA-0277,466290,7733033,Monitoreo,DGA
92,Concova AdP,SNGM-PTA-0278,466805,7734341,Monitoreo,Aguas Nuevas
93,San Martín p014,SNGM-PTA-0279,465560,7733107,Monitoreo,DGA
