ID,Pozo_DGA,Pozo,E,N,Tipo,Operador
302,Granja María José,SNGM-PTA-1668,463504,7732812,Monitoreo,Aguas Nuevas
303,Esmeralda 31,SNGM-PTA-1670,456308,7737775,Monitoreo,DGA
304,Bosque Junoy BNA 62-4,SNGM-PTA-1671,440619,7749901,Monitoreo,Aguas Nuevas
305,Chacacollo 2,SNGM-PTA-1672,442629,7695709,Monitoreo,DGA
306,Antonio Nápoli di Capua,SNGM-PTA-1673,465241,7733123,Monitoreo,Aguas Nuevas
307,Bosque Junoy BNA 70-5,SNGM-PTA-1674,434827,7732972,Monitoreo,DGA
308,ESSAT Canchones,SNGM-PTA-1675,456021,7736329,Monitoreo,Aguas Nuevas
309,Est Salar Pint 4,SNGM-PTA-1676,440955,7719990,Monitoreo,DGA
310,Salar Pintados BNA 66-7,SNGM-PTA-1677,430220,7740394,Monitoreo,Aguas Nuevas
311,Salar Pintados BNA 67-5,SNGM-PTA-1678,424827.04,7743512.5,Monitoreo,DGA
312,Salar Pintados BNA 14-4,SNGM-PTA-1679,420826,7753880,Monitoreo,Aguas Nuevas
313,Salar Bellavista BNA 77-2,SNGM-PTA-1681,427588,7698417,Monitoreo,DGA
314,Salar Bellavista BNA 73-K,SNGM-PTA-1682,434562,7711512,Monitoreo,Aguas Nuevas
315,La Tirana 8A,SNGM-PTA-1683,431282,7750082,Monitoreo,DGA
316,La Tirana 104A,SNGM-PTA-1684,432161,7747780,Monitoreo,Aguas Nuevas
317,Moscoso,SNGM-PTA-1685,447805,7751523,Monitoreo,DGA
318,PO-1,SNGM-PTA-1686,434417.93,7656614.11,Monitoreo,Aguas Nuevas
319,PO-2,SNGM-PTA-1687,434196,7659863,Monitoreo,DGA
320,PO-2A,SNGM-PTA-1688,434186.93,7659865.04,Monitoreo,Aguas Nuevas
321,PO-3,SNGM-PTA-1689,434578.93,7658539.07,Monitoreo,DGA
322,PO-4,SNGM-PTA-1690,434625.93,7657960.08,Monitoreo,Aguas Nuevas
323,PO-5,SNGM-PTA-1691,434536.93,7658721.06,Monitoreo,DGA
324,PO-6,SNGM-PTA-1692,434400,7658755,Monitoreo,Aguas Nuevas
325,PO-6A,SNGM-PTA-1693,434401.93,7658754.06,Monitoreo,DGA
326,PO-7,SNGM-PTA-1694,434410.93,7658873.06,Monitoreo,Aguas Nuevas
327,PO-8,SNGM-PTA-1695,434428.93,7657234.09,Monitoreo,DGA
328,REC-1,SNGM-PTA-1696,442500.78,7635427.55,Monitoreo,Aguas Nuevas
329,REC-2,SNGM-PTA-1697,447796.67,7635757.54,Monitoreo,DGA
330,XT-1B,SNGM-PTA-1698,435848.9,7661225.01,Monitoreo,Aguas Nuevas
331,XT-2B,SNGM-PTA-1699,435060.92,7661184.01,Monitoreo,DGA
332,XT-3,SNGM-PTA-1700,435579.9,7660380.03,Monitoreo,Aguas Nuevas
333,XT-4,SNGM-PTA-1701,435753.9,7659194.05,Monitoreo,DGA
334,XT-5,SNGM-PTA-1702,435570.91,7658450.07,Monitoreo,Aguas Nuevas
335,XT-6,SNGM-PTA-1703,436979.88,7657613.09,Monitoreo,DGA
336,XT-7B,SNGM-PTA-1704,432858.96,7656863.1,Monitoreo,Aguas Nuevas
337,A,SNGM-PTA-1705,435404,7650984,Monitoreo,DGA
338,B,SNGM-PTA-1706,434685,7652915,Monitoreo,Aguas Nuevas
339,CLL-29,SNGM-PTA-1707,433960,7654831,Monitoreo,DGA
340,M3N2,SNGM-PTA-1708,436000,7648237,Monitoreo,Aguas Nuevas
341,M3N3,SNGM-PTA-1709,434670,7648017,Monitoreo,DGA
342,N2N,SNGM-PTA-1710,436015,7648582,Monitoreo,Aguas Nuevas
343,N2S,SNGM-PTA-1711,436015,7648381,Monitoreo,DGA
344,N2E,SNGM-PTA-1712,436260,7648448,Monitoreo,Aguas Nuevas
345,N2W,SNGM-PTA-1713,435765,7648432,Monitoreo,DGA
346,N3N,SNGM-PTA-1714,434740,7648332,Monitoreo,Aguas Nuevas
347,N3S,SNGM-PTA-1715,434740,7648132,Monitoreo,DGA
348,N3E,SNGM-PTA-1716,434990,7648182,Monitoreo,Aguas Nuevas
349,N3W,SNGM-PTA-1717,434490,7648182,Monitoreo,DGA
350,Llamara S1,SNGM-PTA-1718,435065,7647689,Monitoreo,Aguas Nuevas
351,Llamara S2,SNGM-PTA-1719,435519,7647854,Monitoreo,DGA
352,Llamara S3,SNGM-PTA-1720,435579,7647359,Monitoreo,Aguas Nuevas
353,Llamara S4,SNGM-PTA-1721,435037,7647077,Monitoreo,DGA
354,Llamara S5,SNGM-PTA-1722,434682,7646858,Monitoreo,Aguas Nuevas
355,Llamara S6,SNGM-PTA-1723,434242,7646709,Monitoreo,DGA
356,Llamara S7,SNGM-PTA-1724,433791,7647905,Monitoreo,Aguas Nuevas
357,Llamara S8,SNGM-PTA-1725,433947,7647991,Monitoreo,DGA
358,Llamara S9,SNGM-PTA-1726,434390,7647981,Monitoreo,Aguas Nuevas
359,Llamara S10,SNGM-PTA-1727,435107,7648218,Monitoreo,DGA
360,Llamara S11,SNGM-PTA-1728,435513,7648234,Monitoreo,Aguas Nuevas
361,Llamara S12,SNGM-PTA-1729,435362,7648663,Monitoreo,DGA
362,Llamara S13,SNGM-PTA-1730,433705,7647993,Monitoreo,Aguas Nuevas
363,Llamara S14,SNGM-PTA-1731,434664,7646625,Monitoreo,DGA
364,Llamara S15,SNGM-PTA-1732,435580,7647091,Monitoreo,Aguas Nuevas
365,Llamara S16,SNGM-PTA-1733,434389,7648188,Monitoreo,DGA
366,Llamara S17,SNGM-PTA-1734,433938,7648188,Monitoreo,Aguas Nuevas
367,Llamara S18,SNGM-PTA-1735,434280,7647907,Monitoreo,DGA
368,Re-1,SNGM-PTA-1736,435693.91,7647823.29,Monitoreo,Aguas Nuevas
369,R2N2,SNGM-PTA-1737,435968.9,7648003.28,Monitoreo,DGA
370,R4N3,SNGM-PTA-1739,434593.93,7647850.29,Monitoreo,Aguas Nuevas
371,R5N4,SNGM-PTA-1740,433940.95,7647857.29,Monitoreo,DGA
372,3X-16A,SNGM-PTA-1741,434378.93,7658725.06,Monitoreo,Aguas Nuevas
373,X-17A,SNGM-PTA-1742,439717,7663226,Monitoreo,DGA
374,2PL3,SNGM-PTA-1743,433657.95,7657625.08,Monitoreo,Aguas Nuevas
375,3X-14A,SNGM-PTA-1744,433409.95,7661610,Monitoreo,DGA
376,2PL2,SNGM-PTA-1745,432957.96,7658557.06,Monitoreo,Aguas Nuevas
377,3X-S7,SNGM-PTA-1746,431596.99,7659968.03,Monitoreo,DGA
378,Comiña,SNGM-PTA-1748,464296,7733691,Monitoreo,Aguas Nuevas
379,HUA-01,SNGM-PTA-1750,512438,7753663,Monitoreo,DGA
380,XT-12,SNGM-PTA-1752,437264,7637520,Monitoreo,Aguas Nuevas
381,Minera Nueva,SNGM-PTA-1753,434772,7687370,Monitoreo,DGA
382,RL-13,SNGM-PTA-1754,438109,7637220,Monitoreo,Aguas Nuevas
383,S-9,SNGM-PTA-1755,434388,7647973,Monitoreo,DGA
384,Enpachica,SNGM-PTA-1756,454643,7803303,Monitoreo,Aguas Nuevas
